Country,Year,Count,Rate,Source,Source Type,dataset
Jordan,2005,67,1.3,CTS,CJ,0.733
Kazakhstan,2005,1848,12.2,Transmonee,CJ,0.747
Kuwait,2005,66,2.9,CTS,CJ,0.787
Kyrgyzstan,2005,491,9.7,CTS/Transmonee,CJ,0.613
Latvia,2005,126,5.5,CTS,CJ,0.807
Lebanon,2005,156,3.8,National police,CJ,0.733
Lithuania,2005,372,10.9,CTS,CJ,0.807
Malaysia,2005,497,1.9,CTS,CJ,0.732
Malta,2005,4,1,CTS,CJ,0.809
Mauritius,2005,37,2.9,CTS,CJ,0.713
Mexico,2005,9921,9.3,NSO,CJ,0.723
Mongolia,2005,398,15.6,CTS,CJ,0.649
Montenegro,2005,22,3.5,CTS,CJ,0.751
Morocco,2005,469,1.5,CTS,CJ,0.575
Nepal,2005,913,3.3,NSO,CJ,0.476
Netherlands,2005,197,1.2,Eurostat,CJ,0.893
New Zealand,2005,61,1.5,National police,CJ,0.888
Nicaragua,2005,729,13.4,National police,CJ,0.597
Norway,2005,33,0.7,CTS/Eurostat,CJ,0.931
Occupied Palestinian Territory,2005,145,4.1,CTS,CJ,0.656
Pakistan,2005,9631,6.1,NSO,CJ,0.501
Panama,2005,364,11.2,National police,CJ,0.744
Paraguay,2005,887,15,OAS,CJ,0.648
Peru,2005,3057,11.1,CTS,CJ,0.693
Philippines,2005,6434,7.5,CTS,CJ,0.646
Poland,2005,555,1.5,CTS,CJ,0.803
Portugal,2005,135,1.3,CTS/Eurostat,CJ,0.793
Qatar,2005,6,0.7,CTS,CJ,0.835
Romania,2005,453,2.1,Eurostat,CJ,0.755
Russian Federation,2005,25439,17.7,CTS,CJ,0.754
Saint Lucia,2005,41,24.8,OAS,CJ,0.694
Saint Vincent and the Grenadines,2005,26,23.9,OAS/NGO,CJ,0.695
Saudi Arabia,2005,297,1.2,NSO,CJ,0.767
Serbia,2005,147,1.5,CTS/Eurostat,CJ,0.739
Singapore,2005,21,0.5,CTS/National police,CJ,0.839
Slovakia,2005,106,2,CTS/Transmonee,CJ,0.793
Slovenia,2005,20,1,CTS,CJ,0.858
Solomon Islands,2005,26,5.5,CTS,CJ,0.47
South Africa,2005,18528,38.8,National police,CJ,0.609
Spain,2005,518,1.2,CTS/Eurostat,CJ,0.844
Sri Lanka,2005,1221,6.2,National police,CJ,0.718
Suriname,2005,69,13.8,OAS,CJ,0.678
Sweden,2005,81,0.9,CTS/Eurostat,CJ,0.892
Switzerland,2005,75,1,CTS/Eurostat,CJ,0.904
Syrian Arab Republic,2005,430,2.3,NSO,CJ,0.636
Tajikistan,2005,157,2.4,Transmonee,CJ,0.579
Thailand,2005,4806,7.2,National police,CJ,0.686
The former Yugoslav Republic of Macedonia,2005,53,2.6,CTS/Eurostat,CJ,0.703
Trinidad and Tobago,2005,386,29.3,OAS,CJ,0.751
Turkey,2005,3305,4.9,CTS,CJ,0.687
Ukraine,2005,3315,7.1,Transmonee,CJ,0.716
United Arab Emirates,2005,56,1.4,CTS,CJ,0.823
United Kingdom,2005,894,1.5,Eurostat,CJ,0.89
United States,2005,14860,5,National police,CJ,0.898
Uruguay,2005,188,5.7,Ministry of Interior/SES/OAS,CJ,0.756
Uzbekistan,2005,910,3.5,CTS/Transmonee,CJ,0.626
Venezuela (Bolivarian Republic of),2005,9964,37.4,NGO,CJ,0.714
Yemen,2005,945,4.6,NSO,CJ,0.475
